division,level,tournament,date,team1rough,team1_goals,team1_spirit,team2rough,team2_goals,team2_spirit,team1full,team2full,team1_strength,team2_strength,team1_goal_diff,team2_goal_diff,year,team1full_AUC_placing,team2full_AUC_placing,team1_division,team2_division,team1_ELO_before,team2_ELO_before,team1_ELO_after,team2_ELO_after,team1form_10,team2form_10,team1_H2H_win_rate,team2_H2H_win_rate
Opens,National,NGC2017,2017-01-28,Bench Ultimate B,12,?,Ironbark A,9,?,Brunch Cooked AUC2017,Ironbark AUC2017,,,3,-3,2017,,,Division 2,Division 2,1200.0,1200.0,1215.75,1184.25,0.0,0.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,Bench Ultimate,7,?,Colony Pillage,15,?,Brunch Smashed AUC2017,Colony Pillage AUC2017,M,L,-8,8,2017,5.0,1.0,Division 1,Division 1,1500.0,1500.0,1481.4,1513.95,0.0,0.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,Colony Plunder,15,?,Newcastle U-Beam,2,?,Colony Plunder AUC2017,U-Beam AUC2017,F,,13,-13,2017,7.0,,Division 1,Division 2,1500.0,1200.0,1522.8970400372548,1177.1029599627452,0.0,0.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,Newcastle I-Beam,15,?,Combine - IWU & DUFF,10,?,Newcastle I-Beam AUC2017,Combine - IWU & DUFF AUC2017,M,,5,-5,2017,3.0,,Division 1,Division 2,1500.0,1200.0,1508.7176320298038,1189.1029599627452,0.0,0.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,Bench Ultimate B,14,?,Newcastle U-Beam,11,?,Brunch Cooked AUC2017,U-Beam AUC2017,,,3,-3,2017,,,Division 2,Division 2,1215.75,1177.1029599627452,1230.2537407265554,1162.5992192361898,1.0,0.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,Fyshwick United,7,?,Colony Plunder,15,?,Fyshwick United AUC2017,Colony Plunder AUC2017,,F,-8,8,2017,12.0,7.0,Division 1,Division 1,1500.0,1522.8970400372548,1477.4903370108266,1545.4067030264282,0.0,1.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,Fyshwick Unit,1,?,Newcastle I-Beam,15,?,Fyshwick Unit AUC2017,Newcastle I-Beam AUC2017,,M,-14,14,2017,,3.0,Division 2,Division 1,1200.0,1508.7176320298038,1175.7451740936724,1528.1214927548658,0.0,1.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,Ironbark A,13,?,The Rum Corps,14,?,Ironbark AUC2017,The Rum Corps AUC2017,,,-1,1,2017,,,Division 2,Division 2,1184.25,1200.0,1172.0096375657338,1212.2403624342662,0.0,0.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,Bench Ultimate,13,?,Newcastle I-Beam,10,?,Brunch Smashed AUC2017,Newcastle I-Beam AUC2017,M,M,3,-3,2017,5.0,3.0,Division 1,Division 1,1481.4,1528.1214927548658,1495.203034391024,1514.318458363842,0.0,1.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,Fyshwick Unit,6,?,Combine - IWU & DUFF,15,?,Fyshwick Unit AUC2017,Combine - IWU & DUFF AUC2017,,,-9,9,2017,,,Division 2,Division 2,1175.7451740936724,1189.1029599627452,1151.4274875862486,1213.420646470169,0.0,0.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,The Rum Corps,6,?,Fyshwick United,15,?,The Rum Corps AUC2017,Fyshwick United AUC2017,,,-9,9,2017,,12.0,Division 2,Division 1,1212.2403624342662,1477.4903370108266,1194.7252943137444,1495.0054051313484,1.0,0.0,0.0,0.0
Opens,National,NGC2017,2017-01-28,Bench Ultimate B,2,?,Fyshwick United,15,?,Brunch Cooked AUC2017,Fyshwick United AUC2017,,,-13,13,2017,,12.0,Division 2,Division 1,1230.2537407265554,1495.0054051313484,1206.7292018603864,1518.5299439975174,1.0,0.5,0.0,0.0
Opens,National,NGC2017,2017-01-28,Combine - IWU & DUFF,4,?,Colony Pillage,15,?,Combine - IWU & DUFF AUC2017,Colony Pillage AUC2017,,L,-11,11,2017,,1.0,Division 2,Division 1,1213.420646470169,1513.95,1193.5323857016947,1525.8829564610846,0.5,1.0,0.0,0.0
