Team,Elo,Active,Form,AUC24,AUC25 Prediction
Bench Ultimate B,1157.597464,EOL,0.3,NaN,NaN
Ironbark A,1172.375854,N,0.3,NaN,NaN
Bench Ultimate,1226.652894,N,0.5,NaN,NaN
Colony Pillage,1570.308446,N,0.5,NaN,NaN
Colony Plunder,1753.92105,N,1,NaN,NaN
Newcastle U-Beam,1038.341301,N,0,NaN,NaN
Newcastle I-Beam,1490.521591,Y,0.8,10th,9th
Combine - IWU & DUFF,1200.791424,EOL,0.3,NaN,NaN
Fyshwick United,1560.183255,Y,0.7,4th,3rd
Fyshwick Unit,1268.031937,N,0.7,NaN,NaN
The Rum Corps,1211.668816,EOL,0.5,NaN,NaN
Nomads,924.8923388,N,0,NaN,NaN
Fyshwick University,1077.17464,N,0.2,NaN,NaN
Manly Ultimate,1156.452476,EOL,0.5,NaN,NaN
Adelaide Outbreak Apocalypse,1159.145035,N,0.4,NaN,NaN
Melbourne Colossus,1040.452074,N,0.1,NaN,NaN
Outbreak Mountain,1447.36552,Y,0.6,9th,12th
Fresh Chilly,1210.892245,N,0.6,NaN,NaN
Melbourne Carnage,1279.992072,N,0.8,NaN,NaN
Ballarat Gold Diggers,1173.770279,N,0.4,NaN,NaN
Convicts,1135.862874,N,0,NaN,NaN
Phat Chilly,1185.547496,N,0.4,NaN,NaN
Quoll,1193.440794,N,0.6,NaN,NaN
Melbourne Wild Chilly,1067.12849,EOL,0,NaN,NaN
Melbourne Juggernaut,1556.655791,Y,0.5,5th,4th
Hot Chilly,1501.25459,Y,0.5,3rd,7th
Mammoth,1455.189598,Y,0.2,11th,11th
Mammoth II,1170.614765,N,0.3,NaN,NaN
Sydney Colony,1225.775976,EOL,0.75,NaN,NaN
Townsvillains,1245.207059,N,0.6,NaN,NaN
Melbourne Hawthorn Apocalypse,1195.878371,EOL,0.5,NaN,NaN
Hawthorn Apocalypse,1184.925327,EOL,0.4,NaN,NaN
Extinction,1141.966944,N,0,NaN,NaN
Krank,1392.517622,N,0.4,12th,NaN
Bronze Bullseye,1244.024805,N,0.6,NaN,NaN
Sublime Ultimate Club,1460.552267,Y,0.2,8th,10th
Wildcats,1504.447638,Y,0.4,NaN,8th
Geelong Mudlarks,1243.028865,N,0.4,NaN,NaN
Outbreak Pandemic,1141.848463,EOL,0.2857142857,NaN,NaN
Nunya,1001.182014,EOL,0.1,NaN,NaN
Outbreak Apocalypse,1133.759241,N,0.3,NaN,NaN
YoungBloods,1242.412048,N,0.5,NaN,NaN
