player_id,Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m),team,total_callahans,total_pulls,eff_pulls,Off_PlusMinus,Def_PlusMinus,pull_efficiency,OVR_PER,OVR_PER_PerPoint
OPEN00003,Alex Gan,21,14,7,11,2,56,16,54,49,7,6,4,2,2,2,0,1,0,0,791.03,399.61,15.21,7.68,641.83,209.18,13.1,4.27,SUNS2022,0,7,2,8,-3,0.2857142857,36.93333951,1.758730453
OPEN00089,Robert Andrews,18,11,7,10,3,30,15,25,29,1,3,2,5,1,1,0,1,0,0,320.96,148.6,13.37,6.19,491.98,303.65,16.96,10.47,ELLM2023,0,6,4,9,-1,0.6666666667,36.51499674,2.02861093
OPEN00048,John McNaughton,22,11,11,6,5,47,17,47,34,13,5,1,0,5,5,0,0,0,0,703.1,451.95,17.58,11.3,279.76,72.25,8.23,2.12,MAMU2018,0,6,7,1,-1,1.166666667,28.26254087,1.284660949
OPEN00109,Tom Tulett,21,11,10,9,4,49,17,48,44,5,3,5,1,3,3,0,1,0,0,539.47,383.97,11.99,8.53,384.98,44.04,8.75,1,ELLM2021,0,5,1,7,-2,0.2,25.3038648,1.204945943
OPEN00016,Calan Spielman,18,8,10,7,3,12,11,12,12,0,2,2,0,1,1,0,2,0,0,186.55,131.51,16.96,11.96,174.17,136.83,14.51,11.4,MAMU2018,0,8,6,6,-4,0.75,24.57699641,1.365388689
OPEN00089,Robert Andrews,23,11,12,7,5,28,13,26,26,2,3,2,2,3,3,0,2,0,0,312.32,178.79,13.58,7.77,304.5,127.04,11.71,4.89,ELLM2024,0,11,4,3,-2,0.3636363636,24.01069616,1.043943311
OPEN00032,Elliot Cook,14,14,1,10,0,38,14,36,30,8,7,1,2,3,2,1,0,0,0,488.35,343.18,14.8,10.4,348.48,148.96,11.62,4.97,MAMU2019,0,0,0,6,-1,0,23.97549009,1.712535006
OPEN00093,Sam McGuckin,20,13,7,9,4,21,14,15,21,0,2,1,6,1,1,0,0,0,0,148.41,67.12,10.6,4.79,415.74,336.78,19.8,16.04,ELLM2024,0,0,0,5,1,0,23.79035103,1.189517551
OPEN00048,John McNaughton,19,7,12,5,3,27,11,26,21,6,4,0,1,1,0,1,0,0,0,434.32,243.68,16.7,9.37,200.4,22.37,9.54,1.07,MAMU2019,0,10,6,3,-6,0.6,23.28182841,1.22535939
OPEN00089,Robert Andrews,19,15,4,11,2,29,15,26,28,1,2,3,3,3,3,0,2,0,0,341.81,92.95,14.86,4.04,493.39,225.37,17.62,8.05,ELLM2022,0,4,1,7,0,0.25,22.10206616,1.16326664
OPEN00083,Oliver Loughnan,13,11,2,10,2,38,12,36,29,9,2,1,2,0,0,0,0,0,0,376.88,108.78,10.47,3.02,393.37,197.62,13.56,6.81,ELLM2023,0,0,0,9,2,0,21.94325657,1.687942813
