division,level,tournament,date,team1rough,team1_goals,team1_spirit,team2rough,team2_goals,team2_spirit,team1full,team2full,team1_strength,team2_strength,team1_goal_diff,team2_goal_diff,year,team1full_AUC_placing,team2full_AUC_placing,team1_division,team2_division,team1_ELO_before,team2_ELO_before,team1_ELO_after,team2_ELO_after,team1form_10,team2form_10,team1_H2H_win_rate,team2_H2H_win_rate
Womens,National,NGC2017,2017-01-28,Sugar Magnolias,14,?,Rogue B,15,?,Sugar Magnolias AUC2017,Rogue Revolution AUC2017,,F,-1,1,2017,,6.0,Division 2,Division 1,1000.0,1500.0,997.3020951579545,1502.6979048420455,0.0,0.0,0.0,0.0
Womens,National,NGC2017,2017-01-28,GWS Blaze,15,?,Rogue Works,3,?,GWS Blaze AUC2017,Rogue Works AUC2017,F,F,12,-12,2017,4.0,,Division 1,Division 2,1500.0,1000.0,1519.1979048420455,980.8020951579545,0.0,0.0,0.0,0.0
Womens,National,NGC2017,2017-01-28,Factory Flash,11,?,Rogue Works,4,?,Factory AUC2017,Rogue Works AUC2017,M,F,7,-7,2017,3.0,,Division 1,Division 2,1500.0,980.8020951579545,1509.262866139852,969.2235124831392,0.0,0.0,0.0,0.0
Womens,National,NGC2017,2017-01-28,Rogue B,15,?,Tempest,2,?,Rogue Revolution AUC2017,Tempest AUC2017,F,,13,-13,2017,6.0,,Division 1,Division 2,1502.6979048420455,1000.0,1523.378317948821,979.3195868932244,1.0,0.0,0.0,0.0
Womens,National,NGC2017,2017-01-28,Factory Flash,13,?,Tempest,4,?,Factory AUC2017,Tempest AUC2017,M,,9,-9,2017,3.0,,Division 1,Division 2,1509.262866139852,979.3195868932244,1520.8763155036547,964.8027751884712,1.0,0.0,0.0,0.0
Womens,National,NGC2017,2017-01-28,GWS Blaze,13,?,Sugar Magnolias,6,?,GWS Blaze AUC2017,Sugar Magnolias AUC2017,F,,7,-7,2017,4.0,,Division 1,Division 2,1519.1979048420455,997.3020951579545,1530.7606511929198,985.7393488070802,1.0,0.0,0.0,0.0
Womens,National,NGC2017,2017-01-28,Rogue B,15,?,Rogue Works,14,?,Rogue Revolution AUC2017,Rogue Works AUC2017,F,F,1,-1,2017,6.0,,Division 1,Division 2,1523.378317948821,969.2235124831392,1525.7680773559846,966.8337530759756,1.0,0.0,0.0,0.0
Womens,National,NGC2017,2017-01-28,Factory Flash,6,?,GWS Blaze,15,?,Factory AUC2017,GWS Blaze AUC2017,M,F,-9,9,2017,3.0,4.0,Division 1,Division 1,1520.8763155036547,1530.7606511929198,1501.33229109298,1555.1906817062634,1.0,1.0,0.0,0.0
Womens,National,NGC2017,2017-01-28,Sugar Magnolias,9,?,Tempest,5,?,Sugar Magnolias AUC2017,Tempest AUC2017,,,4,-4,2017,,,Division 2,Division 2,985.7393488070802,964.8027751884712,1002.3122397974564,948.229884198095,0.0,0.0,0.0,0.0
Womens,National,ERC2017,2017-02-25,GWS Blaze,13,12,Inland Gypsies,0,10,GWS Blaze AUC2017,Inland Gypsies AUC2017,F,,13,-13,2017,4.0,,Division 1,Division 2,1555.1906817062634,1000.0,1579.6522947844912,975.538386921772,1.0,0.0,0.0,0.0
