Team,Elo,Active,Form,AUC24,AUC25 Prediction
Sugar Magnolias,1180.598009,Y,0.4,NaN,11th
Rogue B,1206.243556,EOL,0.5,NaN,NaN
GWS Blaze,1408.59003,Y,0.2,6th,9th
Rogue Works,1141.805708,EOL,0.4,NaN,NaN
Factory Flash,1500.475504,Y,0.5,8th,5th
Tempest,1173.91451,N,0.4,NaN,NaN
Inland Gypsies,1103.243754,N,0.1,NaN,NaN
Surge,1422.452322,N,1,11th,NaN
Factory Frenzy,1185.335831,N,0.5,19th,NaN
Rogue,1564.278659,Y,0.8,4th,4th
Hills,1275.587035,N,0.6,15th,NaN
M.U.G.s,1113.123168,EOL,0.2,NaN,NaN
Ellipsis,1786.804643,EOL,1,NaN,NaN
Melbourne Phoenix,1344.326529,N,0.7,16th,NaN
Zig Theory,1301.186126,Y,0.1,10th,10th
Bauhaus,1337.989897,EOL,0.8,NaN,NaN
Bauhaus B,1104.621095,EOL,0.2,NaN,NaN
Melbourne Inferno,1003.185451,EOL,0,NaN,NaN
Living the dream,1242.57672,EOL,0.7,NaN,NaN
Bauhaus C,1039.280233,EOL,0.2,NaN,NaN
Townsville League of Ivy,1106.438853,EOL,0.1,NaN,NaN
Fuse,1473.013775,Y,0.1,7th,6th
Sisko,1329.679433,N,0.2,NaN,NaN
Kaos,1434.429987,Y,0.4,5th,7th
DarlingThirst,1074.253511,N,0.3,NaN,NaN
Chch Chicks,1469.714545,N,0.5,NaN,NaN
Valkyrie Ultimate,1050.283465,N,0.2,NaN,NaN
Manly,1353.274657,EOL,0.8,NaN,NaN
Extinction Women's,1118.46668,N,0.4,NaN,NaN
The Ladies Lounge,1240.222742,N,0.8,NaN,NaN
Ikigai Ultimate,1103.072254,N,0,NaN,NaN
Manly Mavericks,1646.034275,Y,0.9,3rd,1st
Havoc,1255.87333,N,0.8,NaN,NaN
Spicy Chilly,1403.535829,Y,0.3,9th,8th
NZ U24 Kārearea,1273.747188,N,0.6666666667,NaN,NaN
Dinos,1190.957391,N,0.5,NaN,NaN
Sublime Ultimate Club Women's,1227.877454,N,0.6666666667,NaN,NaN
Kaos B,1185.054857,N,0.5,20th,NaN
Ikigai <3 Manly,1118.564217,EOL,0,NaN,NaN
Capital Punishment,1541.815072,N,0.5714285714,NaN,NaN
Peendemic,1195.689059,EOL,0.6666666667,NaN,NaN
SWU Roar,1046.984902,N,0.1,NaN,NaN
Underground,1236.932053,N,0.4,NaN,NaN
NSU Aurora,1432.948565,N,0.9,13th,NaN
Manly Margaritas,1201.973343,#N/A,0.4,#N/A,NaN
Sugar Magnolia Ultimate #Y,1177.189549,N,0.25,NaN,NaN
Bench Womens,1097.100046,N,0.1,NaN,NaN
Ellipsis Ampersand,1635.356599,Y,0.7,2nd,2nd
Ellipsis Asterisk,1638.608866,Y,0.7,1st,3rd
Zesty Chilly,994.8179316,N,0.2,21st,NaN
Blueberries,1605.630117,N,0.7142857143,NaN,NaN
Factory Flash+,1254.634961,N,0.6666666667,NaN,NaN
Zag Theory,1165.057814,N,0.6,14th,NaN
Ellipsis Pilcrow,1419.991322,N,0.8,12th,NaN
Divine Ultimate,1161.270427,N,0.1428571429,NaN,NaN
Southern Stars,1136.705671,N,0,NaN,NaN
Nexus,1509.7603,N,0.7142857143,NaN,NaN
Brisbane Fuse Tea,1194.354931,N,0.2857142857,17th,NaN
Ballarat Blue Tounges,1113.144891,N,0,NaN,NaN
Manly Maverick Marlins,1150.777911,N,0,NaN,NaN
Factory Fury,947.1336759,N,0,NaN,NaN
Manly Margies,1111.567591,N,0.2,NaN,NaN
Manly Marlins,1032.279039,Y,0,NaN,12th
Albury Wodonga Ultimate Women,991.8747029,N,0,NaN,NaN
Turbo Chooks,1231.051263,N,0.4,NaN,NaN
Ballarat Ultimate Club,1199.444115,N,0.6,NaN,NaN
